pair_id,trial,participant,moving,fixed,overlap,bone_dice_at_reference,condition,repeat,seed,method,init_mtre_mm,mtre_mm,success,improved,residual_translation_mm,residual_rotation_deg,dice,ncc,seconds,converged
PA001_trial_B_V10-V11,PA001_trial_B,PA001,10,11,0.6716,0.4798,HARD,1,1865692838,intensity,4.1918,6.9975,False,False,3.6398,9.2344,0.1666,0.8125,3.614,True
PA001_trial_B_V10-V11,PA001_trial_B,PA001,10,11,0.6716,0.4798,HARD,1,1865692838,anatomy,4.1918,3.2427,True,True,0.3454,4.5917,0.5923,0.7273,0.428,False
PA001_trial_B_V10-V11,PA001_trial_B,PA001,10,11,0.6716,0.4798,HARD,2,1890188795,intensity,5.1057,7.0146,False,False,4.4985,9.0368,0.1667,0.8125,4.534,True
PA001_trial_B_V10-V11,PA001_trial_B,PA001,10,11,0.6716,0.4798,HARD,2,1890188795,anatomy,5.1057,3.2157,True,True,0.3501,4.5621,0.5929,0.7277,0.376,True
PA001_trial_B_V11-V12,PA001_trial_B,PA001,11,12,0.7379,0.1429,EASY,0,1630858683,intensity,0.4233,5.7858,False,False,4.6072,3.748,0.127,0.7337,3.968,True
PA001_trial_B_V11-V12,PA001_trial_B,PA001,11,12,0.7379,0.1429,EASY,0,1630858683,anatomy,0.4233,22.2473,False,False,3.9938,31.8943,0.3451,0.4606,0.51,False
PA001_trial_B_V11-V12,PA001_trial_B,PA001,11,12,0.7379,0.1429,EASY,1,162874966,intensity,0.8497,5.7009,False,False,4.7553,2.3043,0.1437,0.7319,3.771,True
PA001_trial_B_V11-V12,PA001_trial_B,PA001,11,12,0.7379,0.1429,EASY,1,162874966,anatomy,0.8497,22.2392,False,False,3.993,31.8834,0.3456,0.4607,0.543,False
PA001_trial_B_V11-V12,PA001_trial_B,PA001,11,12,0.7379,0.1429,EASY,2,1800305546,intensity,0.7978,4.2285,True,False,3.217,2.3378,0.1604,0.7335,3.674,True
PA001_trial_B_V11-V12,PA001_trial_B,PA001,11,12,0.7379,0.1429,EASY,2,1800305546,anatomy,0.7978,22.2456,False,False,3.9947,31.8911,0.3456,0.4607,0.568,False
PA001_trial_B_V11-V12,PA001_trial_B,PA001,11,12,0.7379,0.1429,MEDIUM,0,264480217,intensity,1.6676,4.3114,True,False,3.3784,2.8887,0.2107,0.7355,4.041,True
PA001_trial_B_V11-V12,PA001_trial_B,PA001,11,12,0.7379,0.1429,MEDIUM,0,264480217,anatomy,1.6676,22.2689,False,False,4.013,31.9404,0.3453,0.4608,0.51,False
PA001_trial_B_V11-V12,PA001_trial_B,PA001,11,12,0.7379,0.1429,MEDIUM,1,759002644,intensity,3.4294,5.3812,False,False,4.0085,3.9768,0.1384,0.7368,3.837,True
PA001_trial_B_V11-V12,PA001_trial_B,PA001,11,12,0.7379,0.1429,MEDIUM,1,759002644,anatomy,3.4294,22.25,False,False,3.9998,31.8997,0.3458,0.4607,0.515,False
PA001_trial_B_V11-V12,PA001_trial_B,PA001,11,12,0.7379,0.1429,MEDIUM,2,376908409,intensity,3.7229,5.2952,False,False,4.2553,2.7257,0.1513,0.7333,3.851,True
